#,Symbol,Weight
1,AAPL,12.838
2,MSFT,10.799
3,AMZN,6.341
4,TSLA,4.204
5,GOOG,4.063
6,GOOGL,3.873
7,META,3.166
8,NVDA,3.006
9,PEP,2.127
10,COST,1.989
11,AVGO,1.822
12,ADBE,1.647
13,CSCO,1.608
14,CMCSA,1.599
15,TMUS,1.523
16,INTC,1.39
17,QCOM,1.363
18,TXN,1.284
19,AMGN,1.188
20,AMD,1.151
21,HON,1.056
22,INTU,1.027
23,SBUX,0.814
24,ADP,0.812
25,MDLZ,0.773
26,PYPL,0.761
27,NFLX,0.743
28,AMAT,0.71
29,GILD,0.705
30,ADI,0.698
31,CHTR,0.696
32,VRTX,0.674
33,ISRG,0.671
34,BKNG,0.643
35,MRNA,0.627
36,REGN,0.601
37,MU,0.591
38,CSX,0.564
39,ATVI,0.547
40,FISV,0.538
41,LRCX,0.515
42,PANW,0.467
43,MNST,0.462
44,KDP,0.46
45,FTNT,0.45
46,SNPS,0.435
47,AEP,0.434
48,KLAC,0.423
49,KHC,0.42
50,MAR,0.404
51,CDNS,0.396
52,EXC,0.389
53,ORLY,0.387
54,PAYX,0.377
55,CRWD,0.364
56,NXPI,0.363
57,MRVL,0.357
58,ADSK,0.35
59,CTAS,0.349
60,ASML,0.347
61,AZN,0.346
62,XEL,0.339
63,DLTR,0.336
64,ABNB,0.333
65,LULU,0.322
66,MELI,0.32
67,EA,0.315
68,CTSH,0.313
69,LCID,0.298
70,MCHP,0.295
71,BIDU,0.295
72,SGEN,0.292
73,WBA,0.29
74,BIIB,0.287
75,DXCM,0.285
76,IDXX,0.285
77,JD,0.281
78,ILMN,0.277
79,ODFL,0.277
80,DDOG,0.274
81,TEAM,0.274
82,ZM,0.27
83,WDAY,0.264
84,FAST,0.261
85,PCAR,0.252
86,VRSK,0.252
87,CPRT,0.244
88,PDD,0.241
89,ROST,0.237
90,SIRI,0.222
91,EBAY,0.216
92,ZS,0.211
93,ANSS,0.194
94,MTCH,0.192
95,ALGN,0.184
96,VRSN,0.175
97,CEG,0.174
98,NTES,0.148
99,SPLK,0.144
100,SWKS,0.141
101,OKTA,0.14
102,DOCU,0.119
