,Ticker,Sector,Exchange
0,AM,Energy,NYSE
1,AMPY,Energy,NYSE
2,AR,Energy,NYSE
3,ARCH,Energy,NYSE
4,AROC,Energy,NYSE
5,ASC,Energy,NYSE
6,BORR,Energy,NYSE
7,BP,Energy,NYSE
8,BPT,Energy,NYSE
9,BSM,Energy,NYSE
10,BTU,Energy,NYSE
11,CAPL,Energy,NYSE
12,CCJ,Energy,NYSE
13,CEIX,Energy,NYSE
14,CEQP,Energy,NYSE
15,CIVI,Energy,NYSE
16,CLB,Energy,NYSE
17,CLR,Energy,NYSE
18,CNQ,Energy,NYSE
19,CNX,Energy,NYSE
20,COP,Energy,NYSE
21,CPE,Energy,NYSE
22,CPG,Energy,NYSE
23,CRC,Energy,NYSE
24,CRGY,Energy,NYSE
25,CRK,Energy,NYSE
26,CRT,Energy,NYSE
27,CSAN,Energy,NYSE
28,CTRA,Energy,NYSE
29,CVE,Energy,NYSE
30,CVI,Energy,NYSE
31,CVX,Energy,NYSE
32,DCP,Energy,NYSE
33,DEN,Energy,NYSE
34,DHT,Energy,NYSE
35,DINO,Energy,NYSE
36,DK,Energy,NYSE
37,DKL,Energy,NYSE
38,DLNG,Energy,NYSE
39,DNOW,Energy,NYSE
40,DO,Energy,NYSE
41,DRQ,Energy,NYSE
42,DTM,Energy,NYSE
43,DVN,Energy,NYSE
44,E,Energy,NYSE
45,EC,Energy,NYSE
46,EGY,Energy,NYSE
47,ENB,Energy,NYSE
48,ENLC,Energy,NYSE
49,EOG,Energy,NYSE
50,EPD,Energy,NYSE
51,EQNR,Energy,NYSE
52,EQT,Energy,NYSE
53,ERF,Energy,NYSE
54,ESTE,Energy,NYSE
55,ET,Energy,NYSE
56,ETRN,Energy,NYSE
57,EURN,Energy,NYSE
58,EXTN,Energy,NYSE
59,FET,Energy,NYSE
60,FLNG,Energy,NYSE
61,FRO,Energy,NYSE
62,FTI,Energy,NYSE
63,FTK,Energy,NYSE
64,GEL,Energy,NYSE
65,GLOP,Energy,NYSE
66,GLP,Energy,NYSE
