,ts_code,symbol,name,area,industry
0,430047.BJ,430047,诺思兰德,,
1,430090.BJ,430090,同辉信息,,
2,430198.BJ,430198,微创光电,,
3,430418.BJ,430418,苏轴股份,,
4,430489.BJ,430489,佳先股份,,
5,430510.BJ,430510,丰光精密,,
6,430564.BJ,430564,天润科技,,
7,830799.BJ,830799,艾融软件,,
8,830832.BJ,830832,齐鲁华信,,
9,830839.BJ,830839,万通液压,,
10,830946.BJ,830946,森萱医药,,
11,830964.BJ,830964,润农节水,,
12,831010.BJ,831010,凯添燃气,,
13,831039.BJ,831039,国义招标,,
14,831167.BJ,831167,鑫汇科,,
15,831278.BJ,831278,泰德股份,,
16,831305.BJ,831305,海希通讯,,
17,831370.BJ,831370,新安洁,,
18,831445.BJ,831445,龙竹科技,,
19,831689.BJ,831689,克莱特,,
20,831726.BJ,831726,朱老六,,
21,831768.BJ,831768,拾比佰,,
22,831832.BJ,831832,科达自控,,
23,831856.BJ,831856,浩淼科技,,
24,831961.BJ,831961,创远信科,,
25,832000.BJ,832000,安徽凤凰,,
26,832089.BJ,832089,禾昌聚合,,
27,832145.BJ,832145,恒合股份,,
28,832171.BJ,832171,志晟信息,,
29,832225.BJ,832225,利通科技,,
30,832278.BJ,832278,鹿得医疗,,
31,832419.BJ,832419,路斯股份,,
32,832491.BJ,832491,奥迪威,,
33,832566.BJ,832566,梓橦宫,,
34,832735.BJ,832735,德源药业,,
35,832885.BJ,832885,星辰科技,,
36,833266.BJ,833266,生物谷,,
37,833346.BJ,833346,威贸电子,,
38,833427.BJ,833427,华维设计,,
39,833454.BJ,833454,同心传动,,
40,833509.BJ,833509,同惠电子,,
41,833523.BJ,833523,德瑞锂电,,
42,833533.BJ,833533,骏创科技,,
43,833580.BJ,833580,科创新材,,
44,833819.BJ,833819,颖泰生物,,
45,833873.BJ,833873,中设咨询,,
46,833874.BJ,833874,泰祥股份,,
47,833943.BJ,833943,优机股份,,
48,833994.BJ,833994,翰博高新,,
49,834021.BJ,834021,流金岁月,,
50,834062.BJ,834062,科润智控,,
51,834415.BJ,834415,恒拓开源,,
52,834475.BJ,834475,三友科技,,
53,834599.BJ,834599,同力股份,,
54,834639.BJ,834639,N晨光,,
55,834682.BJ,834682,球冠电缆,,
56,834765.BJ,834765,美之高,,
57,835174.BJ,835174,五新隧装,,
58,835179.BJ,835179,凯德石英,,
59,835184.BJ,835184,国源科技,,
60,835185.BJ,835185,贝特瑞,,
61,835305.BJ,835305,云创数据,,
62,835368.BJ,835368,连城数控,,
63,835508.BJ,835508,殷图网联,,
64,835640.BJ,835640,富士达,,
65,835670.BJ,835670,数字人,,
66,836077.BJ,836077,吉林碳谷,,
67,836149.BJ,836149,旭杰科技,,
68,836239.BJ,836239,长虹能源,,
69,836260.BJ,836260,中寰股份,,
70,836263.BJ,836263,中航泰达,,
71,836433.BJ,836433,大唐药业,,
72,836675.BJ,836675,秉扬科技,,
73,836720.BJ,836720,吉冈精密,,
74,836826.BJ,836826,盖世食品,,
75,836892.BJ,836892,广咨国际,,
76,837092.BJ,837092,汉鑫科技,,
77,837212.BJ,837212,智新电子,,
78,837242.BJ,837242,建邦科技,,
79,837344.BJ,837344,三元基因,,
80,837821.BJ,837821,则成电子,,
81,838030.BJ,838030,德众汽车,,
82,838163.BJ,838163,方大股份,,
83,838171.BJ,838171,邦德股份,,
84,838275.BJ,838275,驱动力,,
85,838670.BJ,838670,恒进感应,,
86,838924.BJ,838924,广脉科技,,
87,839167.BJ,839167,同享科技,,
88,839680.BJ,839680,广道高新,,
89,839729.BJ,839729,永顺生物,,
90,839946.BJ,839946,华阳变速,,
91,870204.BJ,870204,沪江材料,,
92,870299.BJ,870299,灿能电力,,
93,870436.BJ,870436,大地电气,,
94,871245.BJ,871245,威博液压,,
95,871396.BJ,871396,常辅股份,,
96,871553.BJ,871553,凯腾精工,,
97,871642.BJ,871642,通易航天,,
98,871857.BJ,871857,泓禧科技,,
99,871970.BJ,871970,大禹生物,,
100,871981.BJ,871981,晶赛科技,,
101,872925.BJ,872925,锦好医疗,,
102,873169.BJ,873169,七丰精工,,
103,873223.BJ,873223,荣亿精密,,
