,ts_code,symbol,name,area,industry
0,600000.SH,600000,浦发银行,上海,银行
1,600004.SH,600004,白云机场,广东,机场
2,600006.SH,600006,东风汽车,湖北,汽车整车
3,600007.SH,600007,中国国贸,北京,园区开发
4,600008.SH,600008,首创环保,北京,环境保护
5,600009.SH,600009,上海机场,上海,机场
6,600010.SH,600010,包钢股份,内蒙,普钢
7,600011.SH,600011,华能国际,北京,火力发电
8,600012.SH,600012,皖通高速,安徽,路桥
9,600015.SH,600015,华夏银行,北京,银行
10,600016.SH,600016,民生银行,北京,银行
11,600017.SH,600017,日照港,山东,港口
12,600018.SH,600018,上港集团,上海,港口
13,600019.SH,600019,宝钢股份,上海,普钢
14,600020.SH,600020,中原高速,河南,路桥
15,600021.SH,600021,上海电力,上海,火力发电
16,600022.SH,600022,山东钢铁,山东,普钢
17,600023.SH,600023,浙能电力,浙江,火力发电
18,600025.SH,600025,华能水电,云南,水力发电
19,600026.SH,600026,中远海能,上海,水运
20,600027.SH,600027,华电国际,山东,火力发电
21,600028.SH,600028,中国石化,北京,石油加工
22,600029.SH,600029,南方航空,广东,空运
23,600030.SH,600030,中信证券,深圳,证券
24,600031.SH,600031,三一重工,北京,工程机械
25,600032.SH,600032,浙江新能,浙江,新型电力
26,600033.SH,600033,福建高速,福建,路桥
27,600035.SH,600035,楚天高速,湖北,路桥
28,600036.SH,600036,招商银行,深圳,银行
29,600037.SH,600037,歌华有线,北京,影视音像
30,600038.SH,600038,中直股份,黑龙江,航空
31,600039.SH,600039,四川路桥,四川,建筑工程
32,600048.SH,600048,保利发展,广东,全国地产
33,600050.SH,600050,中国联通,北京,电信运营
34,600051.SH,600051,宁波联合,浙江,综合类
35,600052.SH,600052,东望时代,浙江,影视音像
36,600053.SH,600053,九鼎投资,江西,多元金融
37,600054.SH,600054,黄山旅游,安徽,旅游景点
38,600055.SH,600055,万东医疗,北京,医疗保健
39,600056.SH,600056,中国医药,北京,医药商业
40,600057.SH,600057,厦门象屿,福建,仓储物流
41,600058.SH,600058,五矿发展,北京,商贸代理
42,600059.SH,600059,古越龙山,浙江,红黄酒
43,600060.SH,600060,海信视像,山东,家用电器
44,600061.SH,600061,国投资本,上海,证券
45,600062.SH,600062,华润双鹤,北京,化学制药
46,600063.SH,600063,皖维高新,安徽,化纤
47,600064.SH,600064,南京高科,江苏,园区开发
48,600066.SH,600066,宇通客车,河南,汽车整车
49,600067.SH,600067,冠城大通,福建,电气设备
50,600070.SH,600070,浙江富润,浙江,互联网
51,600071.SH,600071,凤凰光学,江西,元器件
52,600072.SH,600072,中船科技,上海,船舶
53,600073.SH,600073,上海梅林,上海,食品
54,600075.SH,600075,新疆天业,新疆,化工原料
55,600076.SH,600076,康欣新材,山东,其他建材
56,600077.SH,600077,宋都股份,浙江,全国地产
57,600078.SH,600078,*ST澄星,江苏,化工原料
58,600079.SH,600079,人福医药,湖北,化学制药
59,600080.SH,600080,金花股份,陕西,中成药
60,600081.SH,600081,东风科技,上海,汽车配件
61,600082.SH,600082,海泰发展,天津,园区开发
62,600083.SH,600083,*ST博信,江苏,综合类
63,600084.SH,600084,中葡股份,新疆,红黄酒
64,600085.SH,600085,同仁堂,北京,中成药
65,600088.SH,600088,中视传媒,上海,影视音像
66,600089.SH,600089,特变电工,新疆,电气设备
67,600094.SH,600094,大名城,上海,区域地产
68,600095.SH,600095,湘财股份,黑龙江,证券
69,600096.SH,600096,云天化,云南,农药化肥
70,600097.SH,600097,开创国际,上海,渔业
71,600098.SH,600098,广州发展,广东,火力发电
72,600099.SH,600099,林海股份,江苏,汽车整车
73,600100.SH,600100,同方股份,北京,IT设备
74,600101.SH,600101,明星电力,四川,水力发电
75,600103.SH,600103,青山纸业,福建,造纸
76,600104.SH,600104,上汽集团,上海,汽车整车
77,600105.SH,600105,永鼎股份,江苏,通信设备
78,600106.SH,600106,重庆路桥,重庆,路桥
79,600107.SH,600107,美尔雅,湖北,服饰
80,600108.SH,600108,亚盛集团,甘肃,种植业
81,600109.SH,600109,国金证券,四川,证券
82,600110.SH,600110,诺德股份,吉林,铜
83,600111.SH,600111,北方稀土,内蒙,小金属
84,600112.SH,600112,*ST天成,贵州,电气设备
85,600113.SH,600113,浙江东日,浙江,区域地产
86,600114.SH,600114,东睦股份,浙江,机械基件
87,600115.SH,600115,中国东航,上海,空运
88,600116.SH,600116,三峡水利,重庆,水力发电
89,600117.SH,600117,西宁特钢,青海,特种钢
90,600118.SH,600118,中国卫星,北京,航空
91,600119.SH,600119,长江投资,上海,仓储物流
92,600120.SH,600120,浙江东方,浙江,多元金融
93,600121.SH,600121,郑州煤电,河南,煤炭开采
94,600122.SH,600122,ST宏图,江苏,其他商业
95,600123.SH,600123,兰花科创,山西,煤炭开采
96,600125.SH,600125,铁龙物流,辽宁,铁路
97,600126.SH,600126,杭钢股份,浙江,普钢
98,600127.SH,600127,金健米业,湖南,农业综合
99,600128.SH,600128,弘业股份,江苏,商贸代理
100,600129.SH,600129,太极集团,重庆,中成药
101,600130.SH,600130,波导股份,浙江,通信设备
102,600131.SH,600131,国网信通,四川,通信设备
103,600132.SH,600132,重庆啤酒,重庆,啤酒
104,600133.SH,600133,东湖高新,湖北,园区开发
105,600135.SH,600135,乐凯胶片,河北,化工原料
106,600136.SH,600136,ST明诚,湖北,影视音像
107,600137.SH,600137,浪莎股份,四川,服饰
108,600138.SH,600138,中青旅,北京,旅游服务
109,600139.SH,600139,*ST西源,四川,综合类
110,600141.SH,600141,兴发集团,湖北,农药化肥
111,600143.SH,600143,金发科技,广东,塑料
112,600148.SH,600148,长春一东,吉林,汽车配件
113,600149.SH,600149,廊坊发展,河北,综合类
114,600150.SH,600150,中国船舶,上海,船舶
115,600151.SH,600151,航天机电,上海,汽车配件
116,600152.SH,600152,维科技术,浙江,电气设备
117,600153.SH,600153,建发股份,福建,仓储物流
118,600155.SH,600155,华创阳安,北京,证券
119,600156.SH,600156,华升股份,湖南,纺织
120,600157.SH,600157,永泰能源,山西,火力发电
121,600158.SH,600158,中体产业,天津,文教休闲
122,600159.SH,600159,大龙地产,北京,区域地产
123,600160.SH,600160,巨化股份,浙江,化工原料
124,600161.SH,600161,天坛生物,北京,生物制药
125,600162.SH,600162,香江控股,深圳,全国地产
126,600163.SH,600163,中闽能源,福建,新型电力
127,600165.SH,600165,新日恒力,宁夏,化工原料
128,600166.SH,600166,福田汽车,北京,汽车整车
129,600167.SH,600167,联美控股,辽宁,供气供热
130,600168.SH,600168,武汉控股,湖北,水务
131,600169.SH,600169,太原重工,山西,工程机械
132,600170.SH,600170,上海建工,上海,建筑工程
133,600171.SH,600171,上海贝岭,上海,半导体
134,600172.SH,600172,黄河旋风,河南,矿物制品
135,600173.SH,600173,卧龙地产,浙江,全国地产
136,600176.SH,600176,中国巨石,浙江,玻璃
137,600177.SH,600177,雅戈尔,浙江,服饰
138,600178.SH,600178,东安动力,黑龙江,汽车配件
139,600179.SH,600179,安通控股,黑龙江,仓储物流
140,600180.SH,600180,瑞茂通,山东,仓储物流
141,600182.SH,600182,S*ST佳通,黑龙江,汽车配件
142,600183.SH,600183,生益科技,广东,元器件
143,600184.SH,600184,光电股份,湖北,专用机械
144,600185.SH,600185,格力地产,广东,区域地产
145,600186.SH,600186,莲花健康,河南,食品
146,600187.SH,600187,国中水务,黑龙江,水务
147,600188.SH,600188,兖矿能源,山东,煤炭开采
148,600189.SH,600189,泉阳泉,吉林,软饮料
149,600190.SH,600190,锦州港,辽宁,港口
150,600191.SH,600191,*ST华资,内蒙,食品
151,600192.SH,600192,长城电工,甘肃,电气设备
152,600193.SH,600193,创兴资源,上海,装修装饰
153,600195.SH,600195,中牧股份,北京,农业综合
154,600196.SH,600196,复星医药,上海,化学制药
155,600197.SH,600197,伊力特,新疆,白酒
156,600198.SH,600198,大唐电信,北京,通信设备
157,600199.SH,600199,金种子酒,安徽,白酒
158,600200.SH,600200,江苏吴中,江苏,化学制药
159,600201.SH,600201,生物股份,内蒙,农业综合
160,600202.SH,600202,哈空调,黑龙江,专用机械
161,600203.SH,600203,福日电子,福建,元器件
162,600206.SH,600206,有研新材,北京,半导体
163,600207.SH,600207,安彩高科,河南,供气供热
164,600208.SH,600208,新湖中宝,浙江,全国地产
165,600210.SH,600210,紫江企业,上海,广告包装
166,600211.SH,600211,西藏药业,西藏,中成药
167,600212.SH,600212,绿能慧充,山东,综合类
168,600213.SH,600213,亚星客车,江苏,汽车整车
169,600215.SH,600215,派斯林,吉林,专用机械
170,600216.SH,600216,浙江医药,浙江,化学制药
