,Ticker,Sector,Exchange
0,AAOI,Technology,NASDAQ
1,AAPL,Technology,NASDAQ
2,AATC,Technology,NASDAQ
3,ABST,Technology,NASDAQ
4,ACIW,Technology,NASDAQ
5,ACLS,Technology,NASDAQ
6,ACMR,Technology,NASDAQ
7,ACVA,Technology,NASDAQ
8,ADBE,Technology,NASDAQ
9,ADI,Technology,NASDAQ
10,ADSK,Technology,NASDAQ
11,ADTN,Technology,NASDAQ
12,AEHR,Technology,NASDAQ
13,AEY,Technology,NASDAQ
14,AEYE,Technology,NASDAQ
15,AFRM,Technology,NASDAQ
16,AGIL,Technology,NASDAQ
17,AGMH,Technology,NASDAQ
18,AGYS,Technology,NASDAQ
19,AHI,Technology,NASDAQ
20,AIP,Technology,NASDAQ
21,AIRG,Technology,NASDAQ
22,AKAM,Technology,NASDAQ
23,AKTS,Technology,NASDAQ
24,ALF,Technology,NASDAQ
25,ALGM,Technology,NASDAQ
26,ALKT,Technology,NASDAQ
27,ALLT,Technology,NASDAQ
28,ALOT,Technology,NASDAQ
29,ALRM,Technology,NASDAQ
30,ALTR,Technology,NASDAQ
31,ALYA,Technology,NASDAQ
32,AMAT,Technology,NASDAQ
33,AMBA,Technology,NASDAQ
34,AMD,Technology,NASDAQ
35,AMKR,Technology,NASDAQ
36,AMOT,Technology,NASDAQ
37,AMPG,Technology,NASDAQ
38,AMPL,Technology,NASDAQ
39,AMST,Technology,NASDAQ
40,AMSWA,Technology,NASDAQ
41,ANSS,Technology,NASDAQ
42,ANY,Technology,NASDAQ
43,AOSL,Technology,NASDAQ
44,APCX,Technology,NASDAQ
45,API,Technology,NASDAQ
46,APP,Technology,NASDAQ
47,APPF,Technology,NASDAQ
48,APPN,Technology,NASDAQ
49,APPS,Technology,NASDAQ
50,ARBE,Technology,NASDAQ
51,ARQQ,Technology,NASDAQ
52,ARRY,Technology,NASDAQ
53,ASML,Technology,NASDAQ
54,ASUR,Technology,NASDAQ
55,ASYS,Technology,NASDAQ
56,ATOM,Technology,NASDAQ
57,AUDC,Technology,NASDAQ
58,AUID,Technology,NASDAQ
59,AUR,Technology,NASDAQ
60,AUUD,Technology,NASDAQ
61,AVCT,Technology,NASDAQ
62,AVDX,Technology,NASDAQ
63,AVGO,Technology,NASDAQ
64,AVNW,Technology,NASDAQ
65,AVPT,Technology,NASDAQ
66,AVT,Technology,NASDAQ
67,AWRE,Technology,NASDAQ
68,AXTI,Technology,NASDAQ
69,AZPN,Technology,NASDAQ
70,BAND,Technology,NASDAQ
71,BASE,Technology,NASDAQ
72,BCOV,Technology,NASDAQ
73,BEEM,Technology,NASDAQ
74,BELFB,Technology,NASDAQ
75,BIGC,Technology,NASDAQ
76,BL,Technology,NASDAQ
77,BLBX,Technology,NASDAQ
78,BLIN,Technology,NASDAQ
79,BLKB,Technology,NASDAQ
80,BLZE,Technology,NASDAQ
81,BMBL,Technology,NASDAQ
82,BNFT,Technology,NASDAQ
83,BNSO,Technology,NASDAQ
84,BOSC,Technology,NASDAQ
85,BOXL,Technology,NASDAQ
86,BRQS,Technology,NASDAQ
87,BRZE,Technology,NASDAQ
88,BSQR,Technology,NASDAQ
89,BSY,Technology,NASDAQ
90,BTRS,Technology,NASDAQ
91,CAMP,Technology,NASDAQ
92,CAMT,Technology,NASDAQ
93,CAN,Technology,NASDAQ
94,CASA,Technology,NASDAQ
95,CCMP,Technology,NASDAQ
96,CCSI,Technology,NASDAQ
97,CD,Technology,NASDAQ
98,CDK,Technology,NASDAQ
99,CDNS,Technology,NASDAQ
100,CDW,Technology,NASDAQ
101,CEVA,Technology,NASDAQ
102,CFLT,Technology,NASDAQ
103,CGNT,Technology,NASDAQ
104,CGNX,Technology,NASDAQ
105,CHKP,Technology,NASDAQ
106,CIH,Technology,NASDAQ
107,CISO,Technology,NASDAQ
108,CLBT,Technology,NASDAQ
109,CLFD,Technology,NASDAQ
110,CLPS,Technology,NASDAQ
111,CLRO,Technology,NASDAQ
112,CLSK,Technology,NASDAQ
113,CMBM,Technology,NASDAQ
114,CMTL,Technology,NASDAQ
115,CNDT,Technology,NASDAQ
116,CNXC,Technology,NASDAQ
117,CNXN,Technology,NASDAQ
118,COHU,Technology,NASDAQ
119,COIN,Technology,NASDAQ
120,COMM,Technology,NASDAQ
121,CORZ,Technology,NASDAQ
122,COUP,Technology,NASDAQ
123,CPSH,Technology,NASDAQ
124,CPTN,Technology,NASDAQ
125,CRCT,Technology,NASDAQ
126,CRDO,Technology,NASDAQ
127,CREX,Technology,NASDAQ
128,CRGE,Technology,NASDAQ
129,CRNC,Technology,NASDAQ
130,CRNT,Technology,NASDAQ
131,CRSR,Technology,NASDAQ
132,CRUS,Technology,NASDAQ
133,CRWD,Technology,NASDAQ
134,CSCO,Technology,NASDAQ
135,CSGS,Technology,NASDAQ
136,CSIQ,Technology,NASDAQ
137,CSPI,Technology,NASDAQ
138,CTG,Technology,NASDAQ
139,CTLP,Technology,NASDAQ
140,CTSH,Technology,NASDAQ
141,CTXS,Technology,NASDAQ
142,CUEN,Technology,NASDAQ
143,CVLT,Technology,NASDAQ
144,CVT,Technology,NASDAQ
