open,high,low,close,Adj Close,volume,datetime,MA10,MA20,MA50,MA150,MA200,ticker
49.72,50.24,49.72,49.94,49.273277282714844,347749,2021-07-09,49.89,50.67,52.05,52.1,50.47,CDK
19.75,20.07,19.52,20.02,20.020000457763672,88100,2021-07-09,19.94,19.79,19.01,19.6,18.77,DGII
107.46,108.05,106.88,107.79,107.79000091552734,99200,2021-07-09,106.8,106.39,102.25,91.97,87.78,EXLS
20.4,20.47,19.9,20.17,20.170000076293945,12000,2021-07-09,19.89,19.4,20.97,20.9,19.74,IBEX
15.91,16.19,15.81,16.16,16.15999984741211,125300,2021-07-09,15.45,15.32,15.05,15.36,15.32,IMXI
86.77,88.13,86.59,87.08,85.38192749023438,68000,2021-07-09,86.97,88.15,86.77,86.22,82.68,MANT
9.05,9.14,8.2,8.91,8.90999984741211,50100,2021-07-09,8.5,7.96,6.92,6.98,6.39,NSYS
9.65,9.65,9.42,9.42,9.420000076293945,1400,2021-07-09,9.56,9.71,9.96,10.06,9.69,RBCN
7.56,7.85,7.56,7.8,7.625328063964844,13400,2021-07-09,8.13,8.25,8.06,6.86,6.24,RELL
19.03,19.25,18.63,19.16,19.15999984741211,279500,2021-07-09,19.08,17.83,16.18,16.33,15.13,SWIR
15.31,15.54,15.3,15.51,15.227313995361328,33100,2021-07-09,15.44,15.45,15.89,15.83,14.9,AMAL
24.89,25.69,24.77,25.66,25.040916442871094,18400,2021-07-09,25.58,25.93,25.99,25.58,24.57,CCBG
17.23,17.33,17.04,17.29,17.290000915527344,154700,2021-07-09,17.21,17.08,17.42,16.86,15.88,CLBK
14.62,14.75,14.54,14.7,14.054624557495117,41800,2021-07-09,14.7,14.9,15.06,14.73,14.65,DGICA
22.02,23.12,22.02,22.56,22.18798828125,28200,2021-07-09,22.6,22.53,22.56,20.06,18.67,ISTR
76.5,76.65,75.61,76.35,73.15017700195312,71500,2021-07-09,77.88,78.76,82.22,81.27,78.66,SAFT
63.4,63.64,62.18,62.41,62.40999984741211,42300,2021-07-09,62.22,63.4,65.42,62.47,60.9,SNEX
9.94,9.95,9.92,9.95,9.949999809265137,19900,2021-07-09,9.92,9.94,10.0,,,SYM
41.06,41.81,40.67,41.65,40.678245544433594,86900,2021-07-09,42.05,43.57,45.66,43.29,39.83,TCBK
24.65,24.93,24.35,24.67,24.107606887817383,43700,2021-07-09,26.75,27.49,29.75,30.21,28.11,UFCS
9.12,9.34,8.94,9.25,9.25,55000,2021-07-09,9.69,10.07,12.14,13.39,13.1,ACET
25.6,25.72,25.3,25.36,25.360000610351562,1745500,2021-07-09,24.96,24.79,23.45,21.44,20.36,ALKS
25.25,26.57,25.25,26.49,26.489999771118164,78300,2021-07-09,26.26,26.99,27.71,29.39,27.82,ARQT
21.96,22.14,21.69,22.04,22.040000915527344,203500,2021-07-09,22.3,22.31,21.83,24.52,23.08,CORT
25.87,26.53,25.75,26.1,26.100000381469727,251300,2021-07-09,26.77,26.9,27.3,30.5,29.33,CVET
19.8,19.93,19.3,19.59,19.59000015258789,296000,2021-07-09,20.61,21.26,22.48,22.01,21.02,CYTK
18.03,18.32,17.87,18.01,18.010000228881836,1306500,2021-07-09,18.67,20.64,22.48,22.36,22.2,EXEL
45.16,45.81,44.8,45.5,45.5,363500,2021-07-09,45.72,44.38,43.73,44.56,41.53,HALO
28.2,29.25,28.2,29.08,29.079999923706055,84300,2021-07-09,29.0,30.21,30.31,33.31,34.93,HRMY
39.83,39.83,38.53,39.63,39.630001068115234,84600,2021-07-09,38.43,38.46,38.99,,,IMCR
184.06,184.92,182.87,183.99,183.99000549316406,444000,2021-07-09,181.66,180.95,177.41,167.35,162.1,JAZZ
14.69,14.8,14.12,14.79,14.789999961853027,97800,2021-07-09,14.45,15.1,16.2,16.05,15.62,KDNY
39.5,40.43,39.0,40.36,40.36000061035156,144400,2021-07-09,40.44,39.96,36.91,30.99,30.35,LEGN
99.25,99.34,97.79,99.03,99.02999877929688,348900,2021-07-09,98.26,99.06,96.2,99.6,98.97,NBIX
14.01,15.15,14.0,14.92,14.920000076293945,31700,2021-07-09,16.79,18.21,20.28,,,PHVS
6.19,6.24,5.9,6.03,5.552040100097656,75500,2021-07-09,6.1,6.05,5.72,7.86,7.66,PRPH
42.69,44.18,42.17,43.89,43.88999938964844,268400,2021-07-09,44.78,44.23,37.74,,,PRVA
41.5,41.99,41.38,41.77,41.03251647949219,825700,2021-07-09,41.77,42.74,42.42,44.91,43.93,RPRX
5.83,5.86,5.67,5.71,5.36556339263916,219800,2021-07-09,6.07,6.24,6.66,6.83,6.87,SIGA
53.39,54.12,52.27,53.31,53.01304244995117,87200,2021-07-09,54.36,54.32,54.33,64.66,65.4,SLP
32.93,34.67,32.7,34.51,34.5099983215332,361700,2021-07-09,33.44,31.41,27.64,27.85,24.32,TMDX
71.58,74.45,71.26,74.43,74.43000030517578,188900,2021-07-09,75.53,77.32,72.44,98.43,99.42,TPTX
185.57,188.63,185.36,187.65,187.64999389648438,199100,2021-07-09,182.65,180.97,185.51,174.31,161.43,UTHR
7.71,7.76,7.56,7.72,7.71999979019165,365000,2021-07-09,8.02,8.29,8.33,10.12,8.25,VERU
21.8,22.13,21.62,22.05,22.049999237060547,161100,2021-07-09,21.94,21.26,20.29,22.08,21.07,VIVO
197.55,198.71,196.43,198.16,198.16000366210938,948300,2021-07-09,198.83,194.24,205.39,215.97,220.32,VRTX
44.69,45.77,44.69,45.56,44.847900390625,25400,2021-07-09,45.77,46.13,46.97,47.14,47.55,ATNI
145.89,147.29,144.51,146.01,146.00999450683594,3245300,2021-07-09,145.95,145.7,141.46,132.58,129.16,TMUS
18.92,19.25,17.0,17.33,17.198312759399414,44100,2021-07-09,19.21,19.55,19.87,19.24,17.32,ARKR
104.36,105.61,104.36,104.82,104.81999969482422,47300,2021-07-09,103.65,102.09,101.83,100.22,98.12,DORM
13.45,14.05,12.17,13.15,13.149999618530273,14300,2021-07-09,14.28,13.54,12.57,12.17,11.33,KEQU
32.5,32.6,30.8,31.82,31.81999969482422,9477900,2021-07-09,33.12,31.3,25.28,27.03,26.44,LI
59.01,61.39,59.01,61.03,61.029998779296875,15000,2021-07-09,58.36,58.05,56.36,51.23,48.9,UFPT
13.28,13.37,13.1,13.1,13.100000381469727,2800,2021-07-09,13.44,13.56,15.69,16.22,16.75,BRID
30.01,30.96,29.71,30.95,30.950000762939453,168600,2021-07-09,30.92,31.47,31.39,30.01,26.76,CHEF
386.76,392.57,384.77,392.5,391.63934326171875,20400,2021-07-09,394.85,402.55,375.76,310.66,295.08,COKE
98.6,99.51,98.43,99.51,99.51000213623047,1755400,2021-07-09,99.23,99.94,104.63,107.97,104.81,DLTR
34.38,35.14,34.3,35.07,35.06999969482422,302600,2021-07-09,34.59,34.59,35.57,37.73,38.47,GO
64.89,66.43,63.95,65.74,65.33041381835938,108400,2021-07-09,65.89,65.5,66.54,60.96,56.03,MGPI
89.55,90.54,89.47,90.24,90.23999786376953,1394300,2021-07-09,91.0,91.46,92.64,91.36,88.87,MNST
184.66,185.36,182.96,184.0,182.2755889892578,215600,2021-07-09,187.34,178.93,172.36,156.64,149.41,SAFM
72.22,73.4,71.91,72.96,70.29064178466797,165900,2021-07-09,75.47,77.17,76.17,85.66,87.25,STRA
129.09,129.09,128.43,128.89,127.52479553222656,13100,2021-07-09,129.57,131.4,132.57,134.35,130.54,ESLT
48.65,49.55,48.3,49.01,49.0099983215332,226200,2021-07-09,49.46,50.28,52.99,54.06,50.99,HURN
66.18,66.67,65.35,66.61,66.61000061035156,159300,2021-07-09,66.69,66.62,65.98,72.06,72.44,MRCY
13.81,13.97,13.75,13.91,13.456698417663574,65900,2021-07-09,14.14,14.41,14.53,13.57,13.09,RGP
56.19,56.99,55.9,56.58,56.58000183105469,6500,2021-07-09,56.94,58.11,57.34,50.67,48.76,FRPH
25.7,25.87,25.7,25.74,24.293394088745117,10700,2021-07-09,25.83,25.88,25.8,25.49,,LANDO
34.0,34.0,34.0,34.0,34.0,0,2021-07-09,32.85,30.12,28.36,26.87,25.73,MAYS
37.54,37.95,37.02,37.27,36.35304260253906,12300,2021-07-09,37.33,37.95,39.47,39.21,38.52,ARTNA
11.65,11.83,11.56,11.74,11.403223991394043,68300,2021-07-09,11.92,12.24,12.18,12.67,12.2,CWCO
48.36,48.78,48.13,48.55,47.27286911010742,62300,2021-07-09,48.47,48.67,48.33,45.09,43.7,OTTR
4.64,4.82,4.57,4.75,3.6299121379852295,142900,2021-07-09,5.11,5.27,4.33,3.8,3.25,BPT
10.06,10.25,9.4,9.79,7.8622894287109375,329600,2021-07-09,8.87,8.13,6.87,4.99,4.4,MVO
25.89,26.43,25.85,26.19,23.73734474182129,5900,2021-07-09,25.75,26.66,25.67,22.68,21.04,SRLP
1487.57,1511.0,1469.95,1509.88,1479.4122314453125,41000,2021-07-09,1549.66,1551.3,1563.4,1268.04,1077.69,TPL
8.36,8.41,8.17,8.2,8.199999809265137,169400,2021-07-09,7.82,7.78,8.01,8.69,10.4,EDZ
10.39,10.39,10.25,10.25,10.25,1400,2021-07-09,10.35,10.25,10.4,11.55,12.78,EFU
42.09,42.69,42.09,42.37,40.346492767333984,106800,2021-07-09,42.56,42.58,42.1,37.62,36.23,EIG
12.14,12.14,12.04,12.06,12.0600004196167,45600,2021-07-09,11.85,11.84,11.94,12.19,12.79,EUM
10.8,10.82,10.32,10.39,10.390000343322754,2066300,2021-07-09,10.43,9.86,9.15,10.24,10.44,JDST
165.18,169.98,164.05,168.37,167.9751434326172,104100,2021-07-09,166.5,164.01,163.72,181.34,188.62,KNSL
13.61,13.75,13.61,13.7,13.1466064453125,55800,2021-07-09,13.81,14.0,13.17,11.88,11.2,NXDT
100.11,100.11,100.11,100.11,99.75264739990234,800,2021-07-09,100.1,100.1,100.1,100.09,100.09,OPER
21.92,22.0,21.74,21.78,21.780000686645508,1985400,2021-07-09,22.37,22.59,23.63,25.81,25.17,PSTH
78.0,79.7,74.4,74.7,74.69999694824219,606070,2021-07-09,74.04,77.59,88.03,117.45,166.1,SOXS
33.43,33.43,32.43,32.49,32.4900016784668,4400,2021-07-09,32.23,33.55,39.8,44.44,51.67,SSG
25.48,25.54,25.38,25.5,25.5,5400,2021-07-09,25.46,25.4,25.2,25.31,25.54,USDU
24.79,24.81,24.76,24.77,24.770000457763672,1252200,2021-07-09,24.81,24.7,24.45,24.51,24.66,UUP
1134.9,1141.03,1122.47,1133.27,1132.1923828125,14800,2021-07-09,1153.51,1141.23,1167.24,1123.23,1067.69,WTM
38.17,38.32,38.17,38.28,38.279998779296875,32400,2021-07-09,38.68,38.58,38.08,36.57,36.19,YCS
23.61,23.64,23.16,23.31,23.309999465942383,161500,2021-07-09,23.36,23.05,23.59,25.56,28.07,ZSL
