open,high,low,close,Adj Close,volume,datetime,MA10,MA20,MA50,MA150,MA200,ticker
54.76,54.76,54.76,54.76,54.7599983215332,0.0,2022-07-11,54.77,54.62,54.43,48.44,46.99,CDK
24.3,24.32,23.71,23.74,23.739999771118164,104400.0,2022-07-11,23.92,23.57,22.47,21.98,22.03,DGII
151.89,153.35,150.9,152.75,152.75,121600.0,2022-07-11,150.09,145.08,140.9,135.33,133.62,EXLS
17.5,17.98,17.11,17.31,17.309999465942383,7700.0,2022-07-11,17.22,16.98,16.66,15.37,15.8,IBEX
22.45,22.69,21.95,21.99,21.989999771118164,382900.0,2022-07-11,21.46,20.47,20.18,18.4,17.89,IMXI
95.45,95.68,95.38,95.68,95.68000030517578,249900.0,2022-07-11,95.47,95.18,91.81,83.27,82.03,MANT
15.16,17.39,14.51,15.86,15.859999656677246,63000.0,2022-07-11,13.85,12.73,12.3,11.13,11.07,NSYS
15.25,15.58,15.0,15.43,15.43000030517578,112200.0,2022-07-11,12.16,10.68,9.8,9.3,9.46,RBCN
15.46,15.56,15.05,15.15,15.149999618530272,84100.0,2022-07-11,15.05,14.82,13.94,12.84,12.41,RELL
24.64,24.74,23.93,24.0,24.0,701100.0,2022-07-11,23.65,22.9,21.22,18.2,17.82,SWIR
20.41,20.64,20.26,20.5,20.5,47800.0,2022-07-11,20.08,20.12,19.97,18.05,17.92,AMAL
27.93,27.93,27.76,27.81,27.809999465942383,14200.0,2022-07-11,27.93,27.35,26.85,26.87,26.84,CCBG
21.71,21.91,21.69,21.74,21.739999771118164,64600.0,2022-07-11,21.84,21.5,20.75,21.05,20.51,CLBK
16.8,16.92,16.65,16.92,16.920000076293945,118300.0,2022-07-11,16.82,16.5,15.78,14.53,14.51,DGICA
22.45,22.7,22.25,22.36,22.36000061035156,36700.0,2022-07-11,22.19,22.0,21.25,19.75,19.67,ISTR
96.44,97.98,96.32,97.61,97.61000061035156,100000.0,2022-07-11,97.08,93.94,90.76,87.19,85.34,SAFT
74.58,77.45,74.58,76.97,76.97000122070312,77100.0,2022-07-11,76.71,75.03,74.0,70.58,70.0,SNEX
15.59,16.9,15.01,16.84,16.84000015258789,333700.0,2022-07-11,14.33,14.37,11.86,10.56,10.4,SYM
46.29,46.72,46.16,46.31,46.310001373291016,62200.0,2022-07-11,46.16,45.48,43.82,42.84,43.24,TCBK
33.94,34.7,32.82,34.59,34.59000015258789,61600.0,2022-07-11,33.83,33.47,31.95,28.34,26.81,UFCS
18.04,18.48,16.67,16.68,16.68000030517578,697800.0,2022-07-11,15.73,13.76,12.94,14.27,12.88,ACET
31.78,32.1,30.84,30.9,30.899999618530277,1477200.0,2022-07-11,30.83,29.4,28.98,26.43,26.89,ALKS
24.87,26.13,24.71,25.61,25.61000061035156,568000.0,2022-07-11,22.77,21.8,20.81,18.75,19.37,ARQT
27.78,28.06,25.82,25.91,25.90999984741211,884100.0,2022-07-11,25.6,23.64,21.67,21.46,21.23,CORT
20.76,20.78,20.73,20.73,20.729999542236328,544700.0,2022-07-11,20.76,20.69,18.91,17.9,18.15,CVET
45.87,46.44,44.92,45.34,45.34000015258789,867500.0,2022-07-11,45.05,43.53,41.24,38.45,38.2,CYTK
21.87,21.87,20.44,20.63,20.6299991607666,2707700.0,2022-07-11,21.45,20.25,19.95,19.83,19.83,EXEL
51.15,51.52,49.88,50.0,50.0,1269500.0,2022-07-11,47.16,45.97,44.18,39.44,39.05,HALO
54.72,55.25,53.48,54.7,54.70000076293945,332700.0,2022-07-11,52.65,49.43,44.36,43.03,42.11,HRMY
44.98,45.0,40.86,40.93,40.93000030517578,325400.0,2022-07-11,39.19,35.71,32.71,29.81,31.8,IMCR
157.32,158.17,155.12,155.63,155.6300048828125,243400.0,2022-07-11,157.56,152.07,150.93,146.68,143.51,JAZZ
18.29,18.52,17.84,17.94,17.940000534057617,365500.0,2022-07-11,18.2,17.85,16.08,14.96,14.57,KDNY
54.89,56.0,54.26,54.58,54.58000183105469,509300.0,2022-07-11,55.11,50.73,44.8,42.4,44.69,LEGN
95.85,97.59,94.66,95.89,95.88999938964844,529300.0,2022-07-11,97.35,95.45,91.23,88.2,90.08,NBIX
23.4,23.4,23.4,23.4,23.399999618530277,1500.0,2022-07-11,22.57,22.55,19.58,17.97,17.49,PHVS
