,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Research Development,6849000000.0,6306000000.0,5758000000.0,5599000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,20487000000.0,20190000000.0,22515000000.0,20524000000.0
Minority Interest,,,,
Net Income,16740000000.0,16728000000.0,18765000000.0,20505000000.0
Selling General Administrative,8053000000.0,7075000000.0,6763000000.0,5834000000.0
Gross Profit,35436000000.0,33745000000.0,34768000000.0,31671000000.0
Ebit,20534000000.0,20364000000.0,22247000000.0,20238000000.0
Operating Income,20534000000.0,20364000000.0,22247000000.0,20238000000.0
Other Operating Expenses,,,,
Interest Expense,-492000000.0,-499000000.0,-521000000.0,-535000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3747000000.0,3462000000.0,3750000000.0,19000000.0
Total Revenue,51865000000.0,49360000000.0,51728000000.0,45317000000.0
Total Operating Expenses,31331000000.0,28996000000.0,29481000000.0,25079000000.0
Cost Of Revenue,16429000000.0,15615000000.0,16960000000.0,13646000000.0
Total Other Income Expense Net,-47000000.0,-174000000.0,268000000.0,286000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,16740000000.0,16728000000.0,18765000000.0,20505000000.0
Net Income Applicable To Common Shares,16740000000.0,16728000000.0,18765000000.0,20505000000.0
