,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Research Development,24512000000.0,20716000000.0,19269000000.0,16876000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,83716000000.0,71102000000.0,53036000000.0,43688000000.0
Minority Interest,,,,
Net Income,72738000000.0,61271000000.0,44281000000.0,39240000000.0
Selling General Administrative,27725000000.0,25224000000.0,24709000000.0,23098000000.0
Gross Profit,135620000000.0,115856000000.0,96937000000.0,82933000000.0
Ebit,83383000000.0,69916000000.0,52959000000.0,42959000000.0
Operating Income,83383000000.0,69916000000.0,52959000000.0,42959000000.0
Other Operating Expenses,,,,
Interest Expense,-2047000000.0,-2330000000.0,-2591000000.0,-2686000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,10978000000.0,9831000000.0,8755000000.0,4448000000.0
Total Revenue,198270000000.0,168088000000.0,143015000000.0,125843000000.0
Total Operating Expenses,114887000000.0,98172000000.0,90056000000.0,82884000000.0
Cost Of Revenue,62650000000.0,52232000000.0,46078000000.0,42910000000.0
Total Other Income Expense Net,333000000.0,1186000000.0,77000000.0,729000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,72738000000.0,61271000000.0,44281000000.0,39240000000.0
Net Income Applicable To Common Shares,72738000000.0,61271000000.0,44281000000.0,39240000000.0
