ts_code,list_date,delist_date
A,19991118,
AA,20161031,
AAALF,20140113,
AAALY,20150129,
AAARF,20090513,
AABB,20010111,
AABVF,19600101,
AACAF,20050722,
AACAY,20081015,
AACG,20080128,
AACH,20141002,
AACMZ,19920605,
AACS,20030616,
AACTF,20131002,
AAEEF,20120123,
AAGC,20100910,
AAGFF,20110816,
AAGH,20120925,
AAGIY,20110228,
AAGRY,20140328,
AAIGF,20101214,
AAIIQ,19870507,
AAINF,20120427,
AAIRF,20200115,
AAL,20131209,
AALBF,20130708,
AAMAF,20140213,
AAMC,20121213,
AAME,19721214,
AAMMF,20180531,
AAMTF,20141117,
AAN,19821104,
AANNF,20191025,
AAOI,20130927,
AAON,19880526,
AAP,20011121,
AAPJ,19960808,
AAPL,19801212,
AAPT,20070425,
AASL,20091214,
AASP,20110223,
AASZF,20180502,
AAT,20110113,
AATDF,20160415,
AATGF,20140113,
AATP,20181005,
AATV,20010821,
AAU,20051219,
AAUKF,20140113,
AAVMY,20190809,
AAVVF,20051212,
AAVXF,20160930,
AAWC,20030926,
AAWW,20040721,
AAXN,20010703,
AAXT,19930928,
AAZZF,20200512,
AB,19880414,
ABB,20010406,
ABBB,20080818,
ABBRF,20170330,
ABBV,20121210,
ABBY,20120904,
ABC,19950329,
ABCAF,20131118,
ABCB,19940518,
ABCE,20040819,
ABCFF,20140113,
ABCP,20110223,
ABCZF,20110411,
ABCZY,20101204,
ABDDF,20180702,
ABDR,19721214,
ABEC,20041026,
ABENU,20161102,
ABEO,20120724,
ABEPF,20171214,
ABETF,20140113,
ABEV,20131111,
ABEYF,20171201,
ABFOF,20140113,
ABG,20020308,
ABGLF,20100721,
ABGOF,20140113,
ABGOY,20081023,
ABGSF,20140113,
ABILF,20140205,
ABIO,19970807,
ABKB,20060927,
ABLE,19990622,
ABLGF,20191127,
ABLT,20120127,
ABLZF,20100512,
ABM,19690213,
ABMBF,20140113,
ABMC,19901002,
ABMD,19870729,
ABML,20160614,
ABMRF,20170425,
ABMT,20070731,
ABNAF,20140113,
ABNC,20120724,
ABPA,20050113,
ABPR,19961209,
ABQQ,20160323,
ABR,20040406,
ABRPRA,20180319,
ABRPRB,20191111,
ABRPRC,20190905,
ABSCF,20110909,
ABSOF,20140508,
ABSSF,20140113,
ABT,19620702,
ABTI,20101203,
ABTO,20120724,
ABTX,20151008,
ABTZY,20130603,
ABUS,20101115,
ABVC,20041109,
ABVG,20001016,
ABVN,20160916,
ABWN,20151019,
ABYB,19600101,
ABZPF,20110707,
ABZPY,20121217,
ABZT,20040415,
ABZUF,20110119,
AC,20151109,
ACA,20181030,
ACAD,20040527,
ACAM,20190510,
ACAMU,20190222,
ACAN,20140710,
ACAVF,20140227,
ACAZF,20100427,
ACB,20140711,
ACBCQ,19970818,
ACBD,19950524,
ACBI,20151103,
ACBM,20180412,
ACC,20040809,
ACCA,19980910,
ACCFF,20150805,
ACCLL,20190605,
ACCMF,20190319,
ACCO,20050805,
ACCR,19971222,
ACCYY,20081016,
ACDSF,20140113,
ACDVF,20101219,
ACEEU,20140829,
ACEHF,20110520,
ACEIY,20101005,
ACEJF,20191115,
ACEL,20170824,
ACER,20000307,
ACEXF,20140616,
ACEYY,20100712,
ACEZ,20000203,
ACFFF,20160705,
ACFL,19991007,
ACFN,19920211,
ACGBF,20100927,
ACGBY,20110124,
ACGI,19950825,
ACGJ,19981019,
ACGL,19950817,
ACGLP,20171214,
ACGPF,20110228,
ACGX,19980902,
ACGYF,20060410,
ACH,20011130,
ACHC,20111103,
ACHFF,19600101,
ACHV,19951012,
ACI,20200627,
ACIA,20160513,
ACIU,20160923,
ACIW,19950224,
ACKAY,20081028,
ACKDF,20140113,
ACKRF,20140113,
ACLD,19901002,
ACLLF,20140113,
ACLS,20000704,
ACLTF,20140113,
ACM,20070510,
ACMB,20160602,
ACMC,20001218,
ACMDY,20181207,
ACMLF,20191227,
ACMR,20171103,
ACMT,19721214,
ACMTA,19870831,
ACN,20010719,
ACNB,19901017,
ACNDF,20070717,
ACNE,19750131,
ACNFF,20120504,
ACNI,20050727,
ACNNF,20170210,
ACNV,20150127,
ACOPF,20130426,
ACOPY,20190521,
ACOR,20060208,
ACOSF,20140113,
ACPGF,20191231,
ACPIF,20140115,
ACPQF,20170227,
ACPS,20020308,
ACRB,20101220,
ACRE,20120426,
ACRFF,20140113,
ACRGF,20181116,
ACRL,20160518,
ACRS,20151007,
ACRX,20110211,
ACSAF,20140113,
ACSAY,20140520,
ACSEF,19970925,
ACSSF,20170203,
ACST,20110506,
ACSYF,20140113,
ACTG,20021216,
ACTL,20160602,
ACTPF,20140113,
ACU,19721214,
ACUIF,20161027,
ACUR,19860314,
ACUS,20030714,
ACWRF,19600101,
ACXIF,20140113,
ACY,19980116,
ADAC,20100831,
ADADD,20150611,
ADAP,20150506,
ADAPL,20120223,
ADBCF,20071010,
ADBE,19860813,
ADBKF,20190923,
ADBN,19950503,
ADBRF,20190904,
ADC,19940415,
ADCOF,20200127,
ADCT,20200515,
ADCUF,20200420,
ADCV,20040525,
ADDC,20131003,
ADDDF,19951013,
ADDLF,20190321,
ADDXF,20081222,
ADDYY,20041231,
ADEC,20101005,
ADERY,20130114,
ADES,20031022,
ADEVF,20200113,
ADEXF,20140113,
ADFJF,19600101,
ADFS,20111201,
ADFT,20100322,
ADGL,20120312,
ADGO,19950221,
ADGRF,20171115,
ADGS,20090119,
ADHC,20030916,
ADHG,20170512,
ADHLF,19890117,
ADHMY,20180129,
ADI,19730102,
ADIA,20020927,
ADIL,20180727,
ADIMF,20140113,
ADKIL,20150218,
ADKT,19750131,
ADLDY,20180712,
ADLI,19910618,
ADM,19620702,
ADMA,20131017,
ADMG,20120724,
ADMLF,20190716,
ADMP,20120724,
ADMQ,20200205,
ADMS,20140410,
ADMT,19790215,
ADNT,20161017,
ADNY,19980528,
ADOCY,20140818,
ADOM,20170616,
ADOOY,20100507,
ADP,19670626,
ADPAJ,20070222,
ADPAS,20070222,
ADPPF,20171102,
ADPT,20190627,
ADPXF,20111128,
ADPXY,20110707,
ADRNY,19900719,
ADRO,20150415,
ADRZF,20140113,
ADRZY,20100908,
ADS,20010608,
ADSK,19850628,
ADST,20000118,
ADSV,19950810,
ADSW,20161006,
ADT,20180119,
ADTC,19930910,
ADTFF,19600101,
ADTM,20100708,
ADTN,19940809,
ADTR,20030715,
ADTTF,20140113,
ADTY,20010109,
ADUS,20091028,
ADVC,20000919,
ADVM,20140731,
ADVOF,20140113,
ADVT,19890130,
ADVV,20171108,
ADVZF,20180828,
ADWPF,20140113,
ADXDF,20140113,
ADXN,20200129,
ADXRF,19870325,
ADXS,20050726,
ADYEY,20191003,
ADYX,20120725,
ADYYF,20180615,
ADZZF,20110316,
AE,19750131,
AEBLF,20190404,
AEBMY,20010109,
AEBZY,20130405,
AECFF,20140113,
AECLY,19740319,
AEDC,20111011,
AEDFF,20200224,
AEE,19750102,
AEEI,20000816,
AEEX,20160614,
AEG,19850628,
AEGG,20010522,
AEGN,19811202,
AEGOF,20140113,
AEGXF,19600101,
AEGY,20090629,
AEHR,19970815,
AEIS,19951116,
AEL,20031126,
AELIY,20140707,
AELPRA,20191115,
AELPRB,20200611,
AELTF,20140113,
AEM,19740319,
AEMC,20040910,
AEMD,20000404,
AEMMF,20140113,
AEMMY,20130621,
AENG,19971219,
AEO,19940414,
AEOJF,20140113,
AEOMF,20180125,
AEOXF,20130402,
AEP,19620702,
AEPLF,20140113,
AEPPRB,20190318,
AEPT,20041215,
AER,20061121,
AERG,20120724,
AERI,20131025,
AERN,19930701,
AERO,20061229,
AERS,20050719,
AES,19910626,
AESE,20171025,
AESO,20050411,
AESTY,20180215,
AETLF,20200626,
AETUF,20061228,
AEXAF,20140113,
AEXAY,20150415,
AEXE,20141016,
AEXFF,20140113,
AEY,19910827,
AEYE,20130426,
AEZS,19951219,
AFAP,19750102,
AFBA,20011231,
AFBG,20101008,
AFBOF,20150513,
AFCJF,20150814,
AFCL,20110111,
AFCSF,20131209,
AFDVF,20110107,
AFFL,19990204,
AFFN,20011119,
AFFU,20061214,
AFFY,20061214,
AFG,19781114,
AFGVF,20140113,
AFGVY,20110719,
AFH,20130212,
AFHFF,20190508,
AFI,20160317,
AFIDY,20141201,
AFIMF,20140113,
AFIN,20180719,
AFINP,20190325,
AFIPA,19721214,
AFL,19730823,
AFLQF,20170726,
AFLYY,20040505,
AFMCF,20140113,
AFMD,20140912,
AFMJF,20140113,
AFML,19980210,
AFNL,19950713,
AFOM,20101012,
AFPW,20120724,
AFRAF,20140113,
AFRMF,20140207,
AFRVF,19970821,
AFTC,20020516,
AFTM,20120809,
AFTPF,20180604,
AFTPY,20200430,
AFXXF,20190207,
AFYA,20190719,
AFYG,20100604,
AG,20101215,
AGBA,20190731,
AGBAU,20190514,
AGCBF,19600101,
AGCCF,19600101,
AGCO,19920416,
AGCZ,19960214,
AGDXF,19600101,
AGDY,19930915,
