ticker,eps_g1,eps_g2,eps_g3
ABG,3.732673267326733,1.0440528634361232,1.128755364806867
ACNT,3.138461538461538,8.872727272727271,17.106060606060606
AEIS,1.1276595744680853,3.0,4.949999999999999
AHCO,1.8372420262664164,4.406108597285067,1.217647058823529
AMD,2.214285714285714,8.8,1.9090909090909087
AMZN,2.16,1.2187499999999998,1.9523809523809528
ANF,2.8236220472440947,2.2062500000000003,5.630387931034483
APT,7.512820512820512,16.833333333333332,11.541666666666666
ATLC,10.235294117647058,11.555555555555554,1.072289156626506
AVTX,1.1126727240381695,2.232886904761905,1.077922077922078
AZN,1.6250000000000002,1.666666666666667,2.9416666666666664
BAND,4.249999999999999,8.222222222222223,1.5
BKI,1.452205882352941,2.5775,1.2309090909090907
BKR,8.269476372924649,7.113636363636363,5.363636363636363
BVXV,13.686403508771928,19.225,4.63125
BZH,1.3142857142857145,3.444444444444445,10.285714285714285
CCLP,5.732142857142857,6.8125,4.8125
CENX,50.66666666666667,5.666666666666667,1.8260869565217392
CFBK,2.2,1.2000000000000002,1.610169491525424
CHGG,8.799999999999999,1.625,1.9
CHS,16.0,5.857142857142856,19.0
CLMT,9.111111111111112,1.1458333333333337,10.666666666666666
CNNE,6.652764777881776,7.933823529411764,9.018939393939394
COWN,7.6164079822616415,17.337662337662337,18.15934065934066
DBRG,1.701754385964913,1.5229885057471269,1.398838845883181
DESP,7.8,10.599999999999998,2.565217391304348
DGX,3.73972602739726,1.2795698924731185,1.6538461538461535
DKS,2.049382716049383,1.787878787878788,1.4761904761904765
DQ,1.4545454545454548,2.555555555555556,2.857142857142857
DYNT,1.6,2.916666666666667,1.638888888888889
EFX,1.1339912280701754,1.6799242424242429,1.1545454545454543
ESCA,1.7857142857142856,1.1176470588235292,2.9444444444444446
ETSY,9.0,3.384615384615384,4.833333333333333
EXAS,3.0131868131868136,5.0917050691244246,1.9274193548387095
EXPR,13.086046511627906,18.86428571428571,12.997619047619049
EYE,3.0,8.0,41.0
FAT,3.111111111111112,2.4111111111111114,3.3
FBC,2.5,1.81,2.495495495495495
FEDU,6.727272727272727,2.0,1.75
FLNG,3.046511627906977,3.357142857142857,2.107142857142857
FRHC,44.5,9.285714285714285,1.6666666666666667
FTCH,18.352941176470587,4.266666666666667,3.161290322580645
FUTU,8.799999999999999,18.5,3.0
GGB,7.666666666666667,11.0,1.2499999999999998
GH,2.7586206896551726,2.555555555555556,4.571428571428571
GOL,3.548184670551324,9.437987736900782,10.14010989010989
GPI,2.428571428571428,1.108527131782946,2.3480392156862746
GSBD,6.037399309551208,8.045454545454547,1.8931818181818183
HGEN,10.363636363636363,7.1000000000000005,5.454545454545454
HMST,3.5000000000000004,2.1842105263157894,1.0909090909090906
HT,1.4539473684210522,5.733333333333333,46.98333333333333
HVT,9.666666666666668,3.2758620689655173,2.214285714285714
HZO,6.3478260869565215,1.536585365853659,2.96551724137931
IMKTA,1.1801775436542774,1.9048507462686568,1.7120786516853932
INFU,3.1499999999999995,5.3,5.15
INTG,5.692307692307692,16.025641025641026,9.333333333333334
ISDR,1.3333333333333337,1.6666666666666667,3.1999999999999997
JD,6.848484848484848,10.499999999999998,28.6
JOUT,1.2164024014778323,2.593116554054054,1.344963144963145
JYNT,1.6666666666666667,7.0,1.7500000000000002
KLIC,4.947368421052631,2.666666666666667,1.4999999999999998
KOD,1.1449074074074073,1.4496212121212122,1.147605083088954
LAKE,5.062499999999999,7.1428571428571415,5.823529411764705
LAUR,1.3598024316109418,6.569352159468438,3.1274391873830525
LFMD,1.043478260869565,75.33333333333334,17.333333333333332
LIND,15.5,14.249999999999998,55.0
LNDC,1.1657608695652173,13.4375,7.375
LOGI,1.1244436836699765,2.4226491405460067,1.5917312661498708
LOMA,1.0833333333333337,1.0416666666666667,73.0
MBIN,1.7551020408163267,1.1311475409836067,1.975
MCHX,4.613207547169811,5.666666666666667,2.666666666666667
MCY,1.210365434812474,2.454827586206896,1.2333333333333334
MRBK,3.23076923076923,1.9183673469387756,1.9038461538461535
NATR,3.291666666666666,5.053571428571428,2.4642857142857144
NBEV,2.833333333333333,23.75,21.125
NECB,1.1,2.1833333333333336,2.683333333333333
NICK,5.544354838709677,7.791666666666667,2.952380952380953
NVAX,4.258620689655173,2.278350515463917,3.3378378378378377
NXE,5.5,4.999999999999999,4.0
OCSL,1.0435897435897434,4.0777777777777775,4.813492063492063
OFS,7.635684647302904,12.507692307692308,4.947692307692308
OPY,4.017241379310345,2.3825136612021858,3.103448275862069
PBPB,4.428571428571427,6.728571428571428,7.612500000000001
PCSA,3.301136363636364,4.582386363636363,1.0798611111111112
PDFS,9.5,18.2,3.0
PFSI,1.2249229935542754,2.86238903762153,3.713684134753815
PHAS,1.1240384615384615,1.3624999999999998,1.5598484848484846
PI,1.105263157894737,1.029411764705882,2.3157894736842106
PIRS,1.357142857142857,3.4571428571428573,1.7875
PKI,10.233333333333334,4.844827586206897,2.019230769230769
PLYA,1.5294117647058822,3.0,1.5217391304347825
PRGO,3.753246753246753,2.735607675906184,1.3070362473347548
PRSO,3.631411951348493,3.1043528954527795,2.320481927710844
PW,2.666666666666667,3.099999999999999,1.272727272727273
PYPL,12.142857142857142,2.069767441860465,1.205128205128205
QCOM,2.731707317073171,1.65,5.119047619047619
QDEL,3.397849462365591,13.986111111111107,13.026315789473683
RGEN,1.888888888888889,4.142857142857142,8.000000000000002
RGR,1.4827586206896552,2.869565217391304,4.148148148148147
RGS,1.2894736842105263,9.607655502392342,10.929292929292927
RILY,3.1482565484713216,5.021527592641963,1.5950917153799635
RLMD,1.6542397660818715,2.105263157894737,1.1115789473684212
RRR,2.7824377457404976,1.2987012987012985,6.1439393939393945
SBEV,1.375,18.142857142857142,2.666666666666667
SBGI,8.169907407407408,41.71378205128205,35.95128205128206
SCM,6.194690265486726,6.683333333333335,2.620833333333333
SEM,1.0499999999999998,1.3749999999999998,1.4782608695652173
SGC,2.0000000000000004,3.2105263157894743,1.423076923076923
SHEN,2.814814814814815,2.3793103448275863,1.4137931034482758
SNAX,17.999999999999996,10.166666666666668,26.0
SNFCA,6.857142857142857,1.375,7.058823529411765
SOHO,1.266930693069307,43.96,54.0
SPLK,5.461538461538461,2.3157894736842106,1.4477611940298505
SPWH,2.0909090909090917,1.8333333333333337,4.615384615384615
SSP,10.54102564102564,9.029914529914532,11.22222222222222
SSTK,5.583333333333334,4.384615384615384,3.428571428571428
STRM,1.1363636363636362,1.6666666666666667,5.666666666666667
SURG,60.66666666666667,128.33333333333334,108.0
TCS,1.7999999999999998,7.0,4.124999999999999
TMO,1.984771573604061,1.5,1.574468085106383
TPL,1.0854542559966036,1.8851622352411,1.05063842571729
TRHC,1.7812499999999998,2.425480769230769,1.3004807692307692
TSAT,4.536764705882353,8.761764705882353,4.059349593495934
TTCF,3.120915032679739,8.944444444444445,3.5
UMC,1.2499999999999998,2.25,3.5
VOXX,2.480898876404494,2.0749999999999997,1.775
WKHS,43.33333333333334,54.29411764705883,3.96078431372549
WSBF,2.708333333333333,2.323529411764705,1.5714285714285718
WTM,3.407640503989789,5.563462995837097,4.339066860571396
WYNN,1.1958378842253077,119.1936274509804,113.94128787878788
YETI,2.5,16.749999999999996,1.3199999999999998
YY,10.482954545454543,165.3125,153.67469879518072
ZM,13.500000000000002,65.0,30.5
ZS,1.173913043478261,2.1538461538461537,8.5
