ts_code,trade_date,total_score
601857.SH,20201218,-18.3
601857.SH,20201221,-9.8
601857.SH,20201222,-25.8
601857.SH,20201223,-17.3
601857.SH,20201224,-17.3
601857.SH,20201225,-19.3
601857.SH,20201228,-23.8
601857.SH,20201229,-20.3
601857.SH,20201230,-17.3
601857.SH,20201231,-19.3
601857.SH,20210104,-23.8
601857.SH,20210105,-20.3
601857.SH,20210106,-16.3
601857.SH,20210107,-12.8
601857.SH,20210108,-16.3
601857.SH,20210111,-18.3
601857.SH,20210112,-13.3
601857.SH,20210113,-5.3
601857.SH,20210114,-9.8
601857.SH,20210115,-18.3
601857.SH,20210118,-9.8
601857.SH,20210119,-12.8
601857.SH,20210120,-14.8
601857.SH,20210121,-9.8
601857.SH,20210122,-25.8
601857.SH,20210125,-23.8
601857.SH,20210126,-22.3
601857.SH,20210127,-17.3
601857.SH,20210128,-17.3
601857.SH,20210129,-23.8
601857.SH,20210201,-17.3
601857.SH,20210202,-17.3
601857.SH,20210203,-19.3
601857.SH,20210204,-22.3
601857.SH,20210205,-17.3
601857.SH,20210208,-19.3
601857.SH,20210209,-25.8
601857.SH,20210210,-18.3
601857.SH,20210218,-5.3
601857.SH,20210219,-3.8
601857.SH,20210222,-5.3
601857.SH,20210223,-5.3
601857.SH,20210224,-5.3
601857.SH,20210225,-1.8
601857.SH,20210226,0.2
601857.SH,20210301,-3.8
601857.SH,20210302,-13.3
601857.SH,20210303,0.634098475
601857.SH,20210304,0.2
601857.SH,20210305,-5.3
601857.SH,20210308,-3.8
601857.SH,20210309,-1.8
601857.SH,20210310,0.404253294
601857.SH,20210311,4.782877437
601857.SH,20210312,6.7330683
601857.SH,20210315,-5.3
601857.SH,20210316,6.053977997
601857.SH,20210317,8.079254
601857.SH,20210318,10.27463516
601857.SH,20210319,0.2
601857.SH,20210322,6.014630868
601857.SH,20210323,9.867780987
601857.SH,20210324,-14.3
601857.SH,20210325,-14.3
601857.SH,20210326,-12.3
601857.SH,20210329,10.48402883
601857.SH,20210330,14.71325065
601857.SH,20210331,12.27980853
601857.SH,20210401,-14.3
601857.SH,20210402,-14.3
601857.SH,20210406,-14.3
601857.SH,20210407,-15.8
601857.SH,20210408,-12.3
601857.SH,20210409,-12.3
601857.SH,20210412,-10.3
601857.SH,20210413,-16.8
601857.SH,20210414,-10.3
601857.SH,20210415,-10.3
