ts_code,trade_date,total_score
600346.SH,20010820,-5
600346.SH,20010821,-5
600346.SH,20010822,-5
600346.SH,20010823,-5
600346.SH,20010824,-5
600346.SH,20010827,-5
600346.SH,20010828,-5
600346.SH,20010829,-5
600346.SH,20010830,-5
600346.SH,20010831,-5
600346.SH,20010903,-5
600346.SH,20010904,-5
600346.SH,20010905,-5
600346.SH,20010906,-5
600346.SH,20010907,-5
600346.SH,20010910,-5
600346.SH,20010911,-5
600346.SH,20010912,-5
600346.SH,20010913,-5
600346.SH,20010914,-5
600346.SH,20010917,-5
600346.SH,20010918,-5
600346.SH,20010919,-5
600346.SH,20010920,-5
600346.SH,20010921,-5
600346.SH,20010924,-5
600346.SH,20010925,-5
600346.SH,20010926,-5
600346.SH,20010927,-5
600346.SH,20010928,-5
600346.SH,20011008,-5
600346.SH,20011009,-5
600346.SH,20011010,-5
600346.SH,20011011,-5
600346.SH,20011012,-5
600346.SH,20011015,-5
600346.SH,20011016,-5
600346.SH,20011017,-5
600346.SH,20011018,-5
600346.SH,20011019,-5
600346.SH,20011022,-5
600346.SH,20011023,-5
600346.SH,20011024,-5
600346.SH,20011025,-5
600346.SH,20011026,-5
600346.SH,20011029,-5
600346.SH,20011030,-5
600346.SH,20011031,-5
600346.SH,20011101,-5
600346.SH,20011102,-5
600346.SH,20011105,-5
600346.SH,20011106,-5
600346.SH,20011107,-5
600346.SH,20011108,-5
600346.SH,20011109,-5
600346.SH,20011112,-5
600346.SH,20011113,-5
600346.SH,20011114,-5
600346.SH,20011115,-5
600346.SH,20011116,-5
600346.SH,20011119,-5
600346.SH,20011120,-5
600346.SH,20011121,-5
600346.SH,20011122,-5
600346.SH,20011123,-5
600346.SH,20011126,-5
600346.SH,20011127,-5
600346.SH,20011128,-5
600346.SH,20011129,-5
600346.SH,20011130,-5
600346.SH,20011203,-5
600346.SH,20011204,-5
600346.SH,20011205,-5
600346.SH,20011206,-5
600346.SH,20011207,-5
600346.SH,20011210,-5
600346.SH,20011211,-5
600346.SH,20011212,-5
600346.SH,20011213,-5
600346.SH,20011214,-5
600346.SH,20011217,-5
600346.SH,20011218,-5
600346.SH,20011219,-5
600346.SH,20011220,-5
600346.SH,20011221,-5
600346.SH,20011224,-5
600346.SH,20011225,-5
600346.SH,20011226,-5
600346.SH,20011227,-5
600346.SH,20011228,-5
600346.SH,20011231,-5
600346.SH,20020104,-5
600346.SH,20020107,-5
600346.SH,20020108,-5
600346.SH,20020109,-5
600346.SH,20020110,-5
600346.SH,20020111,-5
600346.SH,20020114,-5
600346.SH,20020115,-5
600346.SH,20020116,-5
600346.SH,20020117,-5
600346.SH,20020118,-5
600346.SH,20020121,-5
600346.SH,20020122,-5
600346.SH,20020123,-5
600346.SH,20020124,-5
600346.SH,20020125,-5
600346.SH,20020128,-5
600346.SH,20020129,-5
600346.SH,20020130,-5
600346.SH,20020131,-5
600346.SH,20020201,-5
600346.SH,20020204,-5
600346.SH,20020205,-5
600346.SH,20020206,-5
600346.SH,20020207,-5
600346.SH,20020208,-5
600346.SH,20020225,-5
600346.SH,20020226,-5
600346.SH,20020227,-5
600346.SH,20020228,-5
600346.SH,20020301,-5
600346.SH,20020304,-5
600346.SH,20020305,-5
600346.SH,20020306,-5
600346.SH,20020307,-5
600346.SH,20020308,-5
600346.SH,20020311,-5
600346.SH,20020312,-5
600346.SH,20020313,-5
600346.SH,20020314,-5
600346.SH,20020315,-5
600346.SH,20020318,-5
600346.SH,20020319,-5
600346.SH,20020320,-5
600346.SH,20020321,-5
600346.SH,20020322,-5
600346.SH,20020325,-5
600346.SH,20020326,-5
600346.SH,20020327,-5
600346.SH,20020328,-5
600346.SH,20020329,-5
600346.SH,20020401,-5
600346.SH,20020402,-5
600346.SH,20020403,-5
600346.SH,20020404,-5
600346.SH,20020405,-5
600346.SH,20020408,-5
600346.SH,20020409,-5
600346.SH,20020410,-5
600346.SH,20020411,-5
600346.SH,20020412,-5
600346.SH,20020415,-5
600346.SH,20020416,-5
600346.SH,20020417,-5
600346.SH,20020418,-5
600346.SH,20020419,-5
600346.SH,20020422,-5
600346.SH,20020423,-5
600346.SH,20020424,-5
600346.SH,20020425,-5
600346.SH,20020426,-5
600346.SH,20020429,-5
600346.SH,20020430,-5
600346.SH,20020508,-5
600346.SH,20020509,-5
600346.SH,20020510,-5
600346.SH,20020513,-5
600346.SH,20020514,-5
600346.SH,20020515,-5
600346.SH,20020516,-5
600346.SH,20020517,-5
600346.SH,20020521,-5
600346.SH,20020522,-5
600346.SH,20020523,-5
600346.SH,20020524,-5
600346.SH,20020527,-5
600346.SH,20020528,-5
600346.SH,20020529,-5
600346.SH,20020530,-5
600346.SH,20020531,-5
600346.SH,20020603,-5
600346.SH,20020604,-5
600346.SH,20020605,-5
600346.SH,20020606,-5
600346.SH,20020607,-5
600346.SH,20020610,-5
600346.SH,20020611,-5
600346.SH,20020612,-5
600346.SH,20020613,-5
600346.SH,20020614,-5
600346.SH,20020617,-5
600346.SH,20020618,-5
600346.SH,20020619,-5
600346.SH,20020620,-5
600346.SH,20020621,-5
600346.SH,20020624,-5
600346.SH,20020625,-5
600346.SH,20020626,-5
600346.SH,20020627,-5
600346.SH,20020628,-5
600346.SH,20020701,-5
600346.SH,20020702,-5
600346.SH,20020703,-5
600346.SH,20020704,-5
600346.SH,20020705,-5
600346.SH,20020708,-5
600346.SH,20020709,-5
600346.SH,20020710,-5
600346.SH,20020711,-5
600346.SH,20020712,-5
600346.SH,20020715,-5
600346.SH,20020716,-5
600346.SH,20020717,-5
600346.SH,20020718,-5
600346.SH,20020719,-5
600346.SH,20020722,-5
600346.SH,20020723,-5
600346.SH,20020724,-5
600346.SH,20020725,-5
600346.SH,20020726,-5
600346.SH,20020729,-5
600346.SH,20020730,-5
600346.SH,20020731,-5
600346.SH,20020801,-5
600346.SH,20020802,-5
600346.SH,20020805,-5
600346.SH,20020806,-5
600346.SH,20020807,-5
600346.SH,20020808,-5
600346.SH,20020809,-5
600346.SH,20020812,-5
600346.SH,20020813,-5
600346.SH,20020814,-5
600346.SH,20020815,-5
600346.SH,20020816,-5
600346.SH,20020819,-5
600346.SH,20020820,-5
600346.SH,20020821,-5
600346.SH,20020822,-5
600346.SH,20020823,-5
600346.SH,20020826,-5
600346.SH,20020827,-5
600346.SH,20020828,-5
600346.SH,20020829,-5
600346.SH,20020830,-5
600346.SH,20020902,-5
600346.SH,20020903,-5
600346.SH,20020904,-5
600346.SH,20020905,-5
600346.SH,20020906,-5
600346.SH,20020909,-5
600346.SH,20020910,-5
600346.SH,20020911,-5
600346.SH,20020912,-5
600346.SH,20020913,-5
600346.SH,20020916,-5
600346.SH,20020917,-5
600346.SH,20020918,-5
600346.SH,20020919,-5
600346.SH,20020920,-5
600346.SH,20020923,-5
600346.SH,20020924,-5
600346.SH,20020925,-5
600346.SH,20020926,-5
600346.SH,20020927,-5
600346.SH,20021008,-5
600346.SH,20021009,-5
600346.SH,20021010,-5
600346.SH,20021011,-5
600346.SH,20021014,-5
600346.SH,20021015,-5
600346.SH,20021016,-5
600346.SH,20021017,-5
600346.SH,20021018,-5
600346.SH,20021021,-5
600346.SH,20021022,-5
600346.SH,20021023,-5
600346.SH,20021024,-5
600346.SH,20021025,-5
600346.SH,20021028,-5
600346.SH,20021029,-5
600346.SH,20021030,-5
600346.SH,20021031,-5
600346.SH,20021101,-5
600346.SH,20021104,-5
600346.SH,20021105,-5
600346.SH,20021106,-5
600346.SH,20021107,-5
600346.SH,20021108,-5
600346.SH,20021111,-5
600346.SH,20021112,-5
600346.SH,20021113,-5
600346.SH,20021114,-5
600346.SH,20021115,-5
600346.SH,20021118,-5
600346.SH,20021119,-5
600346.SH,20021120,-5
600346.SH,20021121,-5
600346.SH,20021122,-5
600346.SH,20021125,-5
600346.SH,20021126,-5
600346.SH,20021127,-5
600346.SH,20021128,-5
600346.SH,20021129,-5
600346.SH,20021202,-5
600346.SH,20021203,-5
600346.SH,20021204,-5
600346.SH,20021205,-5
600346.SH,20021206,-5
600346.SH,20021209,-5
600346.SH,20021210,-5
600346.SH,20021211,-5
600346.SH,20021212,-5
600346.SH,20021213,-5
600346.SH,20021216,-5
600346.SH,20021217,-5
600346.SH,20021218,-5
600346.SH,20021219,-5
600346.SH,20021220,-5
600346.SH,20021223,-5
600346.SH,20021224,-5
600346.SH,20021225,-5
600346.SH,20021226,-5
600346.SH,20021227,-5
600346.SH,20021230,-5
600346.SH,20021231,-5
600346.SH,20030102,-5
600346.SH,20030103,-5
600346.SH,20030106,-5
600346.SH,20030107,-5
600346.SH,20030108,-5
600346.SH,20030109,-5
600346.SH,20030110,-5
600346.SH,20030113,-5
600346.SH,20030114,-5
600346.SH,20030115,-5
600346.SH,20030116,-5
600346.SH,20030117,-5
600346.SH,20030120,-5
600346.SH,20030121,-5
600346.SH,20030122,-5
600346.SH,20030123,-5
600346.SH,20030124,-5
600346.SH,20030127,-5
600346.SH,20030128,-5
600346.SH,20030129,-5
600346.SH,20030210,-5
600346.SH,20030211,-5
600346.SH,20030212,-5
600346.SH,20030213,-5
600346.SH,20030214,-5
600346.SH,20030217,-5
600346.SH,20030218,-5
600346.SH,20030219,-5
600346.SH,20030220,-5
600346.SH,20030221,-5
600346.SH,20030224,-5
600346.SH,20030225,-5
600346.SH,20030226,-5
600346.SH,20030227,-11.8
600346.SH,20030228,-9.8
600346.SH,20030303,-13.3
600346.SH,20030304,-11.8
600346.SH,20030305,-11.8
600346.SH,20030306,-16.3
600346.SH,20030307,-11.8
600346.SH,20030310,-13.3
600346.SH,20030311,-11.8
600346.SH,20030312,-9.8
600346.SH,20030313,-11.8
600346.SH,20030314,-11.8
600346.SH,20030317,-11.8
600346.SH,20030318,-13.3
600346.SH,20030319,-19.3
600346.SH,20030320,-19.3
600346.SH,20030321,-16.3
600346.SH,20030324,-17.3
600346.SH,20030325,-19.3
600346.SH,20030326,-17.3
600346.SH,20030327,-25.8
600346.SH,20030328,-19.3
600346.SH,20030331,-23.8
600346.SH,20030401,-17.3
600346.SH,20030402,-19.3
600346.SH,20030403,-17.3
600346.SH,20030404,-17.3
600346.SH,20030407,-23.8
600346.SH,20030408,-20.8
600346.SH,20030409,-20.3
600346.SH,20030410,-23.8
600346.SH,20030411,-19.3
600346.SH,20030414,-23.8
600346.SH,20030415,-19.3
600346.SH,20030416,-25.8
600346.SH,20030417,-20.3
600346.SH,20030418,-25.8
600346.SH,20030421,-17.3
600346.SH,20030422,-19.3
600346.SH,20030423,-23.8
600346.SH,20030424,-22.3
600346.SH,20030425,-25.8
600346.SH,20030428,-22.3
600346.SH,20030429,-23.8
600346.SH,20030430,-17.3
600346.SH,20030512,-25.8
600346.SH,20030513,-25.8
600346.SH,20030514,-25.8
600346.SH,20030515,-25.8
600346.SH,20030516,-20.8
600346.SH,20030519,-22.3
600346.SH,20030521,-17.3
600346.SH,20030522,-17.3
600346.SH,20030523,-19.3
600346.SH,20030526,-23.8
600346.SH,20030527,-22.3
600346.SH,20030528,-25.8
600346.SH,20030529,-19.3
600346.SH,20030530,-19.3
600346.SH,20030602,-22.3
600346.SH,20030603,-20.8
600346.SH,20030604,-22.3
600346.SH,20030605,-19.3
600346.SH,20030606,-25.8
600346.SH,20030609,-17.3
600346.SH,20030610,-17.3
600346.SH,20030611,-20.8
600346.SH,20030612,-17.3
600346.SH,20030613,-17.3
600346.SH,20030616,-19.3
600346.SH,20030617,-17.3
600346.SH,20030618,-23.8
600346.SH,20030619,-25.8
600346.SH,20030620,-25.8
600346.SH,20030623,-20.3
600346.SH,20030624,-20.8
600346.SH,20030625,-23.8
600346.SH,20030626,-22.3
600346.SH,20030627,-19.3
600346.SH,20030630,-17.3
600346.SH,20030701,-17.3
600346.SH,20030702,-17.3
600346.SH,20030703,-17.3
600346.SH,20030704,-19.3
600346.SH,20030707,-19.3
600346.SH,20030708,-20.8
600346.SH,20030709,-12.8
600346.SH,20030710,-18.3
600346.SH,20030711,-9.8
600346.SH,20030714,-11.8
600346.SH,20030715,-16.3
600346.SH,20030716,-16.3
600346.SH,20030717,-11.8
600346.SH,20030718,-25.8
600346.SH,20030721,-22.3
600346.SH,20030722,-19.3
600346.SH,20030723,-19.3
600346.SH,20030724,-19.3
600346.SH,20030725,-19.3
600346.SH,20030728,-23.8
600346.SH,20030729,-22.3
600346.SH,20030730,-17.3
600346.SH,20030731,-23.8
600346.SH,20030801,-23.8
600346.SH,20030804,-23.8
600346.SH,20030805,-19.3
600346.SH,20030806,-17.3
600346.SH,20030807,-24.3
600346.SH,20030808,-19.3
600346.SH,20030811,-20.3
600346.SH,20030812,-17.3
600346.SH,20030813,-17.3
600346.SH,20030814,-17.3
600346.SH,20030815,-19.3
600346.SH,20030818,-19.3
600346.SH,20030819,-25.8
600346.SH,20030820,-22.3
600346.SH,20030821,-16.3
600346.SH,20030822,-11.8
600346.SH,20030825,-12.8
600346.SH,20030826,-12.8
600346.SH,20030827,-9.8
600346.SH,20030828,-12.8
600346.SH,20030829,-16.3
600346.SH,20030901,-16.3
