date,code,close,preclose,volume,isST,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
2015/1/5,sz.300059,28.77,27.96,60087127,0,,,,,,,,0.0275,0.116117851,-5,0,-5
2015/1/6,sz.300059,31.65,28.77,47370565,0,,,,,,,,0.122340426,0.11563981,-5,0,-5
2015/1/7,sz.300059,32.9,31.65,71044152,0,,,,,,,,0.003030303,0.091202346,-5,0,-5
2015/1/8,sz.300059,33.78,32.9,59698334,0,,,,,,,,0.042592593,0.086079545,-5,0,-5
2015/1/9,sz.300059,35,33.78,64321963,0,,,,,,,,0.051051051,0.085399449,-5,0,-5
2015/1/12,sz.300059,38.5,35,66290439,0,,,,,,,,0.050190944,0.064675325,-5,0,-5
2015/1/13,sz.300059,37.29,38.5,59255379,0,,,,,,,,0.036434109,0.069008783,-5,0,-5
2015/1/14,sz.300059,37.21,37.29,38322589,0,,,,,,,,0.008127879,0.036649215,-5,0,-5
2015/1/15,sz.300059,40.11,37.21,47990860,0,,,,,,,,0.076778523,0.084766585,-5,0,-5
2015/1/16,sz.300059,44.12,40.11,54416194,0,35.933,,,,,,,0.098879203,0.106300997,-5,0,-5
2015/1/19,sz.300059,44.12,44.12,0,0,37.468,,,,,,,0,0,-5,0,-5
2015/1/20,sz.300059,44.12,44.12,0,0,38.715,,,,,,,0,0,-5,0,-5
2015/1/21,sz.300059,44.12,44.12,0,0,39.837,,,,,,,0,0,-5,0,-5
2015/1/22,sz.300059,44.6,44.12,74498124,0,40.919,,,,,,,0.006238859,0.092284418,-5,0,-5
2015/1/23,sz.300059,40.15,44.6,80482088,0,41.434,,,,,,,0.097752809,0.097977528,-5,0,-5
2015/1/26,sz.300059,42.29,40.15,56884248,0,41.813,,,,,,,0.043424624,0.0658388,-5,0,-5
2015/1/27,sz.300059,41.66,42.29,44492931,0,42.25,,,,,,,0.001442308,0.056692543,-5,0,-5
