,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
0,300059.SZ,20100319,61,62.2,58.03,58.35,40.58,17.77,43.79,197373.26,1182393.995,,,,,,,,,0.043442623,0.067041801,-5,0,-5
1,300059.SZ,20100322,61.1,64.19,60.26,64.19,58.35,5.84,10.01,110103.62,693595.6985,,,,,,,,,0.050572831,0.06122449,-5,0,-5
2,300059.SZ,20100323,63,65.66,62.52,65.1,64.19,0.91,1.42,85522.14,547135.8765,,,,,,,,,0.033333333,0.047822114,-5,0,-5
3,300059.SZ,20100324,65.18,71.49,64.64,68.69,65.1,3.59,5.51,72530.24,491778.5633,,,,,,,,,0.053850875,0.095817597,-5,0,-5
4,300059.SZ,20100325,68.68,71.6,68.02,69.78,68.69,1.09,1.59,60225.14,419010.1089,,,,,,,,,0.016016308,0.05,-5,0,-5
5,300059.SZ,20100326,68.9,69.6,67,68.5,69.78,-1.28,-1.83,43154.33,295658.7194,,,,,,,,,0.005805515,0.037356322,-5,0,-5
6,300059.SZ,20100329,68.71,74.49,67.01,73.56,68.5,5.06,7.39,67685.58,476779.8695,,,,,,,,,0.070586523,0.100416163,-5,0,-5
7,300059.SZ,20100330,73,79.8,72.55,79,73.56,5.44,7.4,48330.58,366877.1025,,,,,,,,,0.082191781,0.09085213,-5,0,-5
8,300059.SZ,20100331,78.88,86.9,78,86.72,79,7.72,9.77,58811.64,493669.1456,,,,,,,,,0.099391481,0.102416571,-5,0,-5
9,300059.SZ,20100401,87.1,94,85.3,86.59,86.72,-0.13,-0.15,61478.86,553713.2894,72.048,72.048,,,,,,,0.005855339,0.092553191,-5,0,-5
10,300059.SZ,20100402,85.2,90.58,85.18,88.49,86.59,1.9,2.19,49701.56,436542.4483,75.062,75.062,,,,,,,0.038615023,0.059615809,-5,0,-5
11,300059.SZ,20100406,89.5,97.34,88.51,97.34,88.49,8.85,10,48516.36,450479.3967,,78.377,,,,,,,0.087597765,0.090712965,-5,0,-5
12,300059.SZ,20100407,97.32,101.98,96,101.9,97.34,4.56,4.68,46945.37,464443.8388,,82.057,,,,,,,0.047061241,0.058638949,-5,0,-5
13,300059.SZ,20100408,100,101.3,91.71,91.71,101.9,-10.19,-10,62018.52,596345.7101,,84.359,,,,,,,0.0829,0.094669299,-5,0,-5
14,300059.SZ,20100409,89.98,97.8,88,96.96,91.71,5.25,5.72,58942.76,543470.8047,,87.077,,,,,,,0.077572794,0.100204499,-5,0,-5
15,300059.SZ,20100412,95.02,96,87.95,90.85,96.96,-6.11,-6.3,56081.77,515284.8271,,89.312,,,,,,,0.043885498,0.083854167,-5,0,-5
16,300059.SZ,20100413,89.66,89.66,81.77,81.77,90.85,-9.08,-9.99,78637.41,660275.9071,,90.133,,,,,,,0.087999108,0.087999108,-5,0,-5
17,300059.SZ,20100414,80.41,83.19,79.01,81.61,81.77,-0.16,-0.2,42526.74,345359.3399,,90.394,,,,,,,0.014923517,0.050246424,-5,0,-5
18,300059.SZ,20100415,81.3,81.3,74.81,78.2,81.61,-3.41,-4.18,53929.71,419930.7432,,89.542,,,,,,,0.038130381,0.079827798,-5,0,-5
19,300059.SZ,20100416,76.75,80.45,76.72,78.18,78.2,-0.02,-0.03,39399.87,310581.7751,,88.701,80.3745,,,,67095.773,,0.018631922,0.046364201,-5,0,-5
20,300059.SZ,20100419,77.48,81.07,76,77,78.18,-1.18,-1.51,33572.42,264804.0977,,87.552,81.307,,,,58905.731,,0.006195147,0.062538547,-5,0,-5
21,300059.SZ,20100420,77.66,78,70.77,72.95,77,-4.05,-5.26,36171.04,263841.8743,,85.113,81.745,,,,55209.102,,0.060648983,0.092692308,-5,0,-5
22,300059.SZ,20100421,71.9,75.79,71.6,75.32,72.95,2.37,3.25,34639.82,257638.304,,82.455,82.256,,,,52664.986,,0.047566064,0.055284338,-5,0,-5
23,300059.SZ,20100422,74.5,79.7,74,78.18,75.32,2.86,3.8,40574.84,314914.3967,,81.102,82.7305,,,,51067.216,,0.049395973,0.071518193,-5,0,-5
24,300059.SZ,20100423,77.6,79.22,74.5,75,78.18,-3.18,-4.07,30694.43,235719.3504,,78.906,82.9915,,,,49590.6805,,0.033505155,0.059580914,-5,0,-5
25,300059.SZ,20100427,70,73.47,69.69,71.12,75,-3.88,-5.17,33507.42,238193.3658,,76.933,83.1225,,,,49108.335,,0.016,0.051449571,-5,0,-5
26,300059.SZ,20100428,69,70.88,65.71,67.59,71.12,-3.53,-4.96,30725.91,210769.1442,,75.515,82.824,,,,47260.3515,,0.020434783,0.072940181,-5,0,-5
27,300059.SZ,20100429,68.48,70.09,66.5,66.7,67.59,-0.89,-1.32,20799.92,142795.9934,,74.024,82.209,,,,45883.8185,,0.025992991,0.05121986,-5,0,-5
28,300059.SZ,20100430,67.01,69.97,63,69.12,66.7,2.42,3.63,26725.99,177296.1253,,73.116,81.329,,,,44279.536,,0.031487838,0.09961412,-5,0,-5
29,300059.SZ,20100504,67.53,70.77,67,68.31,69.12,-0.81,-1.17,19104.36,131906.9792,,72.129,80.415,,,,42160.811,,0.011550422,0.05327116,-5,0,-5
30,300059.SZ,20100505,67.4,71.47,67,71.4,68.31,3.09,4.52,23236.56,162598.1195,,71.569,79.5605,,,,40837.561,,0.059347181,0.062543725,-5,0,-5
31,300059.SZ,20100506,70.66,71.36,67.01,67.08,71.4,-4.32,-6.05,25276.32,174490.7806,,70.982,78.0475,,,,39675.559,,0.050665157,0.06095852,-5,0,-5
32,300059.SZ,20100507,64,66.5,63.89,64.2,67.08,-2.88,-4.29,18114.42,118088.7453,,69.87,76.1625,,,,38234.0115,,0.003125,0.03924812,-5,0,-5
33,300059.SZ,20100510,63.5,64.5,59.2,62,64.2,-2.2,-3.43,22532.9,139243.4166,,68.252,74.677,,,,36259.7305,,0.023622047,0.082170543,-5,0,-5
34,300059.SZ,20100511,63.6,63.6,59,59.2,62,-2.8,-4.52,17316.74,105984.9555,,66.672,72.789,,,,34178.4295,,0.06918239,0.072327044,-5,0,-5
35,300059.SZ,20100512,58.48,61,57.18,60.3,59.2,1.1,1.86,20345.23,121279.1964,,65.59,71.2615,,,,32391.6025,,0.031121751,0.062622951,-5,0,-5
36,300059.SZ,20100513,60.6,60.9,57.28,60.8,60.3,0.5,0.83,20552.46,122642.069,,64.911,70.213,,,,29487.355,,0.00330033,0.059441708,-5,0,-5
37,300059.SZ,20100514,60.4,62.3,59,61.9,60.8,1.1,1.81,18007.93,109597.2542,,64.431,69.2275,,,,28261.4145,,0.024834437,0.052969502,-5,0,-5
38,300059.SZ,20100517,60.5,61.29,57,57.02,61.9,-4.88,-7.88,18405.58,109859.6935,,63.221,68.1685,,,,26485.208,,0.057520661,0.069995105,-5,0,-5
39,300059.SZ,20100519,57.65,62.7,57.5,60.51,57.02,3.49,6.12,34081.79,204465.0345,,62.441,67.285,,,,26219.304,,0.049609714,0.082934609,-5,0,-5
40,300059.SZ,20100520,59.6,62.26,59.4,59.81,60.51,-0.7,-1.16,21462.89,130206.2525,,61.282,66.4255,,,,25613.8275,,0.00352349,0.045936396,-5,0,-5
41,300059.SZ,20100521,57.4,65.58,57.32,65.01,59.81,5.2,8.69,38155.31,234765.6465,,61.075,66.0285,,,,25713.041,,0.132578397,0.125953034,-5,0,-5
