,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
0,300059.SZ,20100319,61.0,62.2,58.03,58.35,40.58,17.77,43.79,197373.26,1182393.995,,,,,,,,0.043442622950819645,0.06704180064308685,-5.0,0.0,-5.0
1,300059.SZ,20100322,61.1,64.19,60.26,64.19,58.35,5.84,10.01,110103.62,693595.6985,,,,,,,,0.050572831423895195,0.061224489795918366,-5.0,0.0,-5.0
2,300059.SZ,20100323,63.0,65.66,62.52,65.1,64.19,0.91,1.42,85522.14,547135.8765,,,,,,,,0.03333333333333324,0.04782211392019484,-5.0,0.0,-5.0
3,300059.SZ,20100324,65.18,71.49,64.64,68.69,65.1,3.59,5.51,72530.24,491778.5633,,,,,,,,0.053850874501380645,0.09581759686669457,-5.0,0.0,-5.0
4,300059.SZ,20100325,68.68,71.6,68.02,69.78,68.69,1.09,1.59,60225.14,419010.1089,,,,,,,,0.016016307513104167,0.04999999999999998,-5.0,0.0,-5.0
5,300059.SZ,20100326,68.9,69.6,67.0,68.5,69.78,-1.28,-1.83,43154.33,295658.7194,,,,,,,,0.005805515239477586,0.03735632183908038,-5.0,0.0,-5.0
6,300059.SZ,20100329,68.71,74.49,67.01,73.56,68.5,5.06,7.39,67685.58,476779.8695,,,,,,,,0.07058652306796695,0.10041616324338824,-5.0,0.0,-5.0
7,300059.SZ,20100330,73.0,79.8,72.55,79.0,73.56,5.44,7.4,48330.58,366877.1025,,,,,,,,0.0821917808219178,0.09085213032581455,-5.0,0.0,-5.0
8,300059.SZ,20100331,78.88,86.9,78.0,86.72,79.0,7.72,9.77,58811.64,493669.1456,,,,,,,,0.09939148073022318,0.1024165707710012,-5.0,0.0,-5.0
9,300059.SZ,20100401,87.1,94.0,85.3,86.59,86.72,-0.13,-0.15,61478.86,553713.2894,72.04800000000002,,,,,,,0.005855338691159483,0.09255319148936174,-5.0,0.0,-5.0
10,300059.SZ,20100402,85.2,90.58,85.18,88.49,86.59,1.9,2.19,49701.56,436542.4483,75.06200000000001,,,,,,,0.038615023474178306,0.05961580922941037,-5.0,0.0,-5.0
11,300059.SZ,20100406,89.5,97.34,88.51,97.34,88.49,8.85,10.0,48516.36,450479.3967,78.37700000000001,,,,,,,0.08759776536312854,0.09071296486542016,-5.0,0.0,-5.0
12,300059.SZ,20100407,97.32,101.98,96.0,101.9,97.34,4.56,4.68,46945.37,464443.8388,82.057,,,,,,,0.04706124126592697,0.05863894881349288,-5.0,0.0,-5.0
13,300059.SZ,20100408,100.0,101.3,91.71,91.71,101.9,-10.19,-10.0,62018.52,596345.7101,84.35900000000001,,,,,,,0.08290000000000006,0.09466929911154989,-5.0,0.0,-5.0
14,300059.SZ,20100409,89.98,97.8,88.0,96.96,91.71,5.25,5.72,58942.76,543470.8047,87.07700000000003,,,,,,,0.07757279395421193,0.10020449897750508,-5.0,0.0,-5.0
15,300059.SZ,20100412,95.02,96.0,87.95,90.85,96.96,-6.11,-6.3,56081.77,515284.8271,89.31200000000003,,,,,,,0.04388549778993898,0.08385416666666663,-5.0,0.0,-5.0
16,300059.SZ,20100413,89.66,89.66,81.77,81.77,90.85,-9.08,-9.99,78637.41,660275.9071,90.13300000000001,,,,,,,0.08799910774035245,0.08799910774035245,-5.0,0.0,-5.0
17,300059.SZ,20100414,80.41,83.19,79.01,81.61,81.77,-0.16,-0.2,42526.74,345359.3399,90.39400000000002,,,,,,,0.014923516975500595,0.05024642384902023,-5.0,0.0,-5.0
18,300059.SZ,20100415,81.3,81.3,74.81,78.2,81.61,-3.41,-4.18,53929.71,419930.7432,89.54200000000002,,,,,,,0.03813038130381297,0.07982779827798273,-5.0,0.0,-5.0
19,300059.SZ,20100416,76.75,80.45,76.72,78.18,78.2,-0.02,-0.03,39399.87,310581.7751,88.70100000000002,80.3745,,,,67095.773,,0.018631921824104322,0.046364201367308934,-5.0,0.0,-5.0
